lineage,mean.diffs,clock.residual,num.cases,num.variants,min.coldate,max.coldate,mean.coldate
XS,69.71,16.42,21,9,2022-01-19,2022-03-07,2022-02-21
XF,64.24,12.62,21,7,2022-01-13,2022-02-14,2022-01-26
BA.1.10,63.62,11.9,856,545,2021-11-26,2022-03-31,2022-01-28
BA.1.13.1,66.24,14.35,1542,882,2021-12-12,2022-04-10,2022-01-31
BA.1.7,63.52,12.02,177,109,2021-12-11,2022-03-15,2022-01-25
BA.1.12,64.87,13.26,915,570,2021-11-22,2022-04-25,2022-01-26
BA.1.13,63.5,12.72,1342,998,2021-11-18,2022-04-22,2022-01-14
BA.1.17,63.78,11.68,24096,16024,2021-11-20,2022-05-11,2022-02-03
BA.1.17.2,65.52,13.48,67635,39398,2021-11-17,2022-05-20,2022-02-02
BA.1.17.1,64.39,12.73,108,80,2021-12-21,2022-03-23,2022-01-27
BA.1.1.18,64.87,12.86,29178,17934,2021-12-07,2022-05-17,2022-02-01
BA.1.15.1,66.68,14.93,12412,7397,2021-12-03,2022-04-23,2022-01-28
BA.1.15,65.34,13.96,86837,53386,2021-11-25,2022-05-20,2022-01-23
BA.1.15.2,67.4,15.19,1323,968,2021-12-12,2022-05-06,2022-02-05
BA.1.18,63.72,11.37,22210,15598,2021-11-11,2022-05-17,2022-02-07
BA.1.20,63.72,12.5,18092,10673,2021-12-01,2022-05-10,2022-01-20
BA.1.9,63.86,12.61,512,366,2021-12-17,2022-04-25,2022-01-21
BA.1.22,63.98,11.33,50,46,2022-01-18,2022-03-10,2022-02-11
BA.1.4,61.39,11.59,87,55,2021-12-07,2022-02-20,2021-12-30
BA.1.2,64.27,13.8,11,10,2021-12-24,2022-02-03,2022-01-09
BA.1.5,63.35,11.51,317,175,2021-11-29,2022-04-14,2022-01-30
BA.1.6,63.18,12.26,255,164,2021-12-10,2022-05-02,2022-01-16
BA.1.3,64.33,13.27,409,167,2021-12-20,2022-03-28,2022-01-18
BA.1.21,62.84,12.12,4103,2182,2021-10-24,2022-04-23,2022-01-13
BA.1.21.1,61.18,9.71,416,322,2021-10-11,2022-04-05,2022-01-24
BA.1.19,62.11,11.31,1486,1106,2021-11-15,2022-04-14,2022-01-14
BA.1.8,64.34,12.87,475,316,2021-12-14,2022-03-30,2022-01-24
BA.1.14,62.91,11.69,4079,2891,2021-11-22,2022-04-28,2022-01-20
